AdId,Age,Gender,Income,Homecountry,Rating,pred_rating,pred_confidence
A13_07,39,F,1,United States of America,0.0,0,0.6422568
A20_12,64,M,1,United States of America,0.0,0,0.9954656
A09_11,21,F,0,Canada,1.0,0,0.6748172
A12_09,20,F,3,United States of America,0.0,1,0.5165497
A19_05,24,M,0,Phillipines,0.0,0,0.7689095
A03_14,22,M,1,United States of America,0.0,0,0.66859686
A13_03,32,F,1,United States of America,0.0,0,0.6802234
A06_03,33,F,0,United States of America,1.0,1,0.89385676
A13_15,27,F,2,United Kingdom,1.0,1,0.9019513
A04_06,38,F,1,United States of America,1.0,1,0.9555464
A17_13,32,F,1,United States of America,1.0,0,0.85921335
A19_03,33,M,2,United States of America,0.0,0,0.9214731
A03_12,68,F,1,United States of America,0.0,1,0.99407333
A01_10,34,F,2,United Kingdom,1.0,1,0.9982205
A12_10,18,F,1,United States of America,0.0,0,0.9995396
A10_14,18,F,0,United States of America,1.0,1,0.8814437
A20_14,31,F,0,United Kingdom,0.0,1,0.77518094
A01_05,57,F,0,United States of America,0.0,0,0.67143357
A15_01,19,F,2,Canada,1.0,1,0.94158053
A06_08,39,M,2,Canada,1.0,1,0.68846446
A16_09,19,M,3,Canada,1.0,1,0.95058066
A13_03,21,F,0,Canada,0.0,0,0.68034583
A05_13,26,F,1,United States of America,0.0,0,0.98919547
A09_01,31,F,1,Canada,1.0,1,0.6880571
A02_12,21,F,0,Canada,1.0,1,0.6524098
A04_03,55,F,2,United States of America,1.0,0,0.5088027
A20_13,22,M,1,United States of America,0.0,0,0.9039195
A08_06,26,F,1,United States of America,0.0,0,0.8501132
A07_01,22,M,2,United States of America,1.0,0,0.7680638
A14_14,26,F,1,United States of America,1.0,1,0.6143004
A03_09,52,F,0,United Kingdom,1.0,1,0.7994583
A05_01,30,F,1,United Kingdom,1.0,1,0.573133
A17_03,30,F,1,Canada,0.0,0,0.728138
A04_14,21,F,0,Canada,0.0,1,0.5465278
A01_07,39,M,2,Canada,0.0,1,0.66624695
A12_02,24,F,0,Singapore,0.0,0,0.75356406
A17_05,19,F,2,Canada,1.0,1,0.94158053
A14_14,30,F,1,United Kingdom,0.0,0,0.76933306
A14_14,35,F,1,United Kingdom,1.0,1,0.9666341
A20_13,41,F,1,United States of America,0.0,0,0.95692486
A08_15,28,F,2,United States of America,0.0,1,0.5842335
A11_05,55,F,2,United States of America,1.0,0,0.6499964
A20_12,31,F,1,Canada,1.0,1,0.66827404
A15_10,23,M,2,Canada,1.0,1,0.75252295
