AdId,Age,Gender,Income,Homecountry,Rating,pred_rating,pred_confidence
A08_08,22,F,1,United Kingdom,0.0,0,0.69575787
A18_01,24,F,1,Great Britain,0.0,0,0.8582203
A09_15,19,F,2,Canada,1.0,1,0.99182045
A14_01,28,F,1,United States of America,0.0,0,0.9071947
A07_11,22,M,0,India,1.0,1,0.9996314
A07_12,28,M,2,United States of America,1.0,1,0.9946843
A08_05,28,F,1,United States of America,0.0,0,0.9071947
A11_07,19,F,3,United States of America,0.0,0,0.91330713
A06_12,18,M,2,United Kingdom,1.0,1,0.999767
A14_02,22,F,1,United Kingdom,0.0,0,0.61535805
A05_10,27,F,1,United States of America,1.0,1,0.7798902
A10_09,21,F,0,Canada,0.0,0,0.5078545
A13_12,34,F,2,United States of America,0.0,0,0.88693875
A06_14,22,M,0,India,1.0,1,0.9975502
A13_04,26,F,1,United States of America,0.0,0,0.96063054
A12_10,33,F,2,United Kingdom,0.0,0,0.729847
A05_03,20,M,0,Saudi Arabia,0.0,0,0.9331497
A12_14,64,M,1,United States of America,1.0,0,0.5250632
A17_05,30,M,3,United States of America,1.0,1,0.9758922
A11_15,18,F,0,United States of America,1.0,1,0.74334395
A07_07,20,F,1,United States of America,0.0,0,0.8845175
A07_09,23,M,0,Singapore,1.0,1,0.8826583
A15_07,61,F,1,Canada,0.0,0,0.5259628
A20_15,24,F,1,Great Britain,0.0,0,0.85506785
A12_09,21,F,1,Canada,0.0,0,0.98608464
A05_14,32,F,1,United States of America,0.0,0,0.7378988
A09_08,36,F,2,United States of America,0.0,0,0.7961104
A16_05,26,F,0,India,0.0,1,0.5876111
A14_11,23,M,0,Singapore,0.0,1,0.8023787
A03_04,18,F,2,United States of America,0.0,0,0.68241096
A14_12,26,F,1,United States of America,0.0,0,0.682765
A12_03,24,M,1,United States of America,0.0,1,0.60630983
A17_02,26,F,1,Slovenia,0.0,0,0.8334874
A05_07,22,M,0,India,1.0,1,0.9992199
A09_05,24,M,1,United States of America,1.0,1,0.63502157
A03_02,32,F,1,United States of America,0.0,0,0.6695302
A09_05,33,F,2,United Kingdom,0.0,0,0.6398536
A04_13,26,F,0,India,1.0,0,0.6022311
A06_07,33,M,1,United States of America,1.0,0,0.57050234
A12_07,26,F,1,Slovenia,0.0,0,0.8266965
A16_13,30,F,1,United Kingdom,0.0,0,0.67376566
A11_13,29,M,1,United States of America,1.0,1,0.7594892
A13_10,30,F,1,Canada,1.0,0,0.5078545
A02_12,31,F,0,United Kingdom,0.0,1,0.6759871
A11_13,18,F,2,United States of America,0.0,0,0.78638965
A04_11,33,F,2,United Kingdom,0.0,1,0.65342826
A18_08,30,F,2,United States of America,1.0,1,0.99904877
A15_02,32,F,1,United States of America,1.0,0,0.70981926
A09_12,28,M,2,United States of America,0.0,0,0.5691322
A03_03,24,F,1,United Kingdom,0.0,0,0.6066458
A19_11,57,F,1,United States of America,0.0,0,0.9081343
A07_12,57,F,0,United States of America,0.0,0,0.5078545
A03_04,27,F,1,United States of America,0.0,0,0.58389217
A03_05,33,F,0,United States of America,1.0,1,0.94066733
A20_03,34,F,1,Czech Republic,0.0,1,0.68072623
A04_07,18,F,0,United States of America,1.0,1,0.67996514
A15_04,22,M,2,United States of America,0.0,0,0.8341716
A13_06,48,M,1,Canada,1.0,1,0.997954
A01_11,57,F,0,United States of America,0.0,0,0.5078545
A09_06,56,F,0,United States of America,1.0,0,0.50697
A15_09,20,F,3,United States of America,1.0,1,0.58454573
A13_04,24,F,1,Great Britain,0.0,0,0.8538492
A02_01,35,F,1,United Kingdom,1.0,1,0.81002396
A13_04,33,M,1,United States of America,0.0,0,0.7388911
A13_06,39,F,1,United States of America,0.0,0,0.5078545
A16_10,18,F,2,United States of America,0.0,0,0.78372306
A01_07,30,F,1,United Kingdom,0.0,0,0.540555
A09_04,40,F,1,United States of America,0.0,0,0.55033904
A06_14,26,F,1,United States of America,0.0,0,0.5078545
A15_07,34,F,1,India,1.0,1,0.90082175
A14_12,24,M,1,United States of America,1.0,1,0.6248324
A14_02,19,F,2,Canada,1.0,1,0.97482884
A06_06,32,F,1,United Kingdom,0.0,0,0.7905509
A18_11,33,F,0,United States of America,1.0,1,0.8676546
A01_09,21,F,1,United Kingdom,1.0,1,0.86415577
A06_09,34,F,2,United States of America,0.0,0,0.7736026
A10_03,37,M,1,United Kingdom,1.0,1,0.9583478
A05_14,28,M,2,United States of America,1.0,1,0.85043806
A09_04,19,F,3,United States of America,0.0,0,0.8161901
A17_09,32,F,1,United States of America,0.0,0,0.7016923
A04_05,68,F,1,United States of America,0.0,1,0.8258106
A13_05,48,M,1,Canada,1.0,1,0.99279433
A10_15,31,F,0,United Kingdom,1.0,1,0.70253325
A07_12,28,F,3,United States of America,0.0,0,0.78111356
A04_11,19,F,2,Canada,1.0,1,0.9206578
A07_01,32,M,2,United States of America,1.0,0,0.78519565
A08_01,23,M,2,United States of America,0.0,0,0.6915641
A02_01,18,F,0,United States of America,1.0,0,0.79961264
A01_09,26,F,0,India,1.0,0,0.55575335
A19_13,46,F,0,United States of America,1.0,0,0.63551205
